source	target
H00486	hsa04310
H00938	hsa04610
H00827	hsa04622
H00527	hsa00830
H00825	hsa00830
H00140	hsa00511
H00140	hsa04142
H00645	hsa04062
H00540	hsa04062
H00490	hsa00590
H01171	hsa00982
H00775	hsa04260
H01155	hsa04146
H01827	hsa04724
H02102	hsa04110
H02102	hsa04350
H01023	hsa04110
H00770	hsa00520
H00984	hsa02010
H00984	hsa04145
H00984	hsa04612
H01233	hsa00340
H02195	hsa03013
H01301	hsa04530
H00898	hsa00970
H00420	hsa04910
H00090	hsa04650
H01240	hsa04666
H00927	hsa04141
H01973	hsa04913
H01973	hsa04917
H00860	hsa04918
H01950	hsa00500
H01950	hsa04910
H00096	hsa04620
H00652	hsa04340
H01160	hsa04340
H01900	hsa04217
H00171	hsa00340
H01034	hsa04360
H01034	hsa04514
H02178	hsa04360
H02178	hsa04514
H01677	hsa04514
H01522	hsa04971
H00932	hsa04612
H01481	hsa04550
H01887	hsa04610
H01741	hsa03050
H00971	hsa04744
H00213	hsa00790
H00170	hsa04520
H00759	hsa04520
H02151	hsa04550
H01307	hsa04020
H01307	hsa04070
H00835	hsa00250
H00835	hsa00650
H01255	hsa04530
H01900	hsa04621
H01481	hsa03040
H02010	hsa00052
H01109	hsa04060
H02019	hsa04020
H02019	hsa04917
H00937	hsa04020
H02388	hsa00230
H02388	hsa04024
H01570	hsa00230
H01745	hsa04010
H01941	hsa00500
H00699	hsa04020
H00699	hsa04730
H01310	hsa04020
H01310	hsa04730
H00801	hsa04020
H00958	hsa04350
H01456	hsa04068
H00133	hsa04142
H00163	hsa00350
H00852	hsa04350
H01479	hsa04060
H01479	hsa04630
H01479	hsa04640
H01672	hsa04060
H01672	hsa04630
H01388	hsa04630
H01388	hsa04917
H00855	hsa04340
H00689	hsa00380
H00199	hsa00240
H00199	hsa00983
H00227	hsa04060
H02060	hsa04060
H02060	hsa04630
H02060	hsa04920
H00942	hsa04910
H00719	hsa04910
H01228	hsa04910
H01267	hsa04910
H01482	hsa04370
H00819	hsa00062
H00819	hsa01040
H00819	hsa02010
H01487	hsa00563
H00574	hsa04010
H00574	hsa04114
H00755	hsa04020
H00715	hsa04020
H00285	hsa04621
H01309	hsa04621
H00704	hsa03015
H01258	hsa04270
H01949	hsa04910
H01180	hsa04390
H01102	hsa04210
H02138	hsa04928
H01523	hsa04144
H01511	hsa04151
H00170	hsa04916
H02060	hsa04080
H02060	hsa04152
H01210	hsa04510
H00116	hsa00052
H01356	hsa00190
H00617	hsa01100
H00535	hsa04010
H00535	hsa04015
H00535	hsa04510
H00549	hsa04330
H00824	hsa01100
H00570	hsa00310
H01117	hsa00561
H01117	hsa00564
H00596	hsa00520
H00147	hsa00520
H00594	hsa00520
H02297	hsa04151
H01912	hsa04151
H00576	hsa04510
H00576	hsa04512
H00843	hsa04974
H00843	hsa04978
H00905	hsa04974
H00905	hsa04978
H01304	hsa04974
H01304	hsa04978
H00193	hsa00240
H00193	hsa00983
H02092	hsa04610
H02092	hsa04611
H01333	hsa00561
H02340	hsa04024
H02340	hsa04371
H00748	hsa04725
H01376	hsa00240
H01962	hsa00515
H01187	hsa04380
H01187	hsa04916
H00169	hsa04916
H00175	hsa00280
H00175	hsa00640
H02091	hsa04261
H00996	hsa00604
H02221	hsa04977
H01385	hsa04350
H00431	hsa04350
H00197	hsa00230
H00197	hsa00250
H00200	hsa00240
H00200	hsa00983
H02190	hsa04012
H02190	hsa04144
H01217	hsa04630
H01076	hsa00072
H00162	hsa00071
H00548	hsa04728
H02039	hsa04060
H02039	hsa04080
H02039	hsa04151
H01843	hsa03040
H00785	hsa04514
H00639	hsa04514
H01896	hsa03008
H00144	hsa04142
H01297	hsa04923
H02040	hsa04151
H01836	hsa04722
H00840	hsa04514
H00128	hsa00531
H00128	hsa04142
H01946	hsa00010
H01946	hsa00620
H00183	hsa00450
H00746	hsa04727
H02102	hsa04310
H01023	hsa04310
H00788	hsa03008
H00931	hsa04630
H01128	hsa00230
H02193	hsa04976
H00882	hsa04620
H00882	hsa04622
H00882	hsa04623
H00882	hsa04660
H00882	hsa04662
H00882	hsa04920
H00957	hsa00562
H00957	hsa04070
H00957	hsa04145
H00957	hsa04810
H01385	hsa04010
H01385	hsa04068
H01385	hsa04390
H01079	hsa00260
H01032	hsa00220
H01437	hsa04010
H01437	hsa04014
H02188	hsa04010
H02188	hsa04014
H02189	hsa04010
H02189	hsa04014
H01910	hsa04151
H02064	hsa04010
H02067	hsa04010
H01838	hsa03040
H02055	hsa00860
H02054	hsa00860
H00208	hsa00860
H00146	hsa00603
H00146	hsa04142
H00422	hsa00603
H01109	hsa04062
H00718	hsa00310
H01076	hsa00280
H00535	hsa04151
H00251	hsa00350
H02219	hsa04150
H02219	hsa04721
H00677	hsa04010
H00775	hsa04010
H01385	hsa04110
H01523	hsa04810
H00621	hsa03008
H01370	hsa04151
H00753	hsa01100
H00408	hsa04722
H00931	hsa04062
H00701	hsa04260
H01984	hsa04010
H01193	hsa04810
H01252	hsa04977
H01252	hsa04978
H00728	hsa04270
H00167	hsa00400
H00746	hsa04270
H01832	hsa00564
H00882	hsa04621
H00195	hsa00230
H01388	hsa04151
H00912	hsa04060
H00899	hsa04974
H01367	hsa04122
H00147	hsa04142
H01250	hsa04010
H01132	hsa04380
H00740	hsa04141
H00148	hsa00100
H00148	hsa04142
H01387	hsa04660
H01967	hsa03008
H01193	hsa00040
H01193	hsa04961
H01391	hsa04750
H01954	hsa00010
H01954	hsa00500
H01954	hsa00520
H02306	hsa00562
H02306	hsa00920
H02306	hsa04070
H01898	hsa00564
H02137	hsa00564
H02140	hsa00564
H01460	hsa00601
H01019	hsa04261
H01387	hsa04670
H00753	hsa00531
